Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Prediksi_Status,Skor_Risiko_Dropout
Single,1,2,9500,1,1,125.0,1,19,19,9,9,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate,Graduate,0.93
Single,44,1,9238,1,39,130.0,1,19,1,9,9,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate,Graduate,1.16
Single,17,3,171,1,1,133.0,1,1,37,4,7,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled,Graduate,22.63
Single,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled,Enrolled,29.39
Single,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,Dropout,77.9
Divorced,42,1,9500,1,19,133.1,1,1,1,5,5,126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout,Enrolled,40.64
Single,1,3,171,1,1,139.0,1,19,19,5,3,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate,Graduate,20.35
Single,44,1,9003,1,39,130.0,1,19,37,9,9,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate,Graduate,5.05
Single,1,3,9147,1,1,125.0,1,1,38,7,7,120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout,Enrolled,6.51
Single,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled,Enrolled,22.03
Single,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,Dropout,92.95
Single,17,1,9500,1,1,150.0,1,37,19,8,4,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate,Graduate,10.22
Single,1,1,171,1,1,141.0,1,19,19,5,10,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,Dropout,52.32
Single,17,4,9254,1,1,118.0,1,38,37,5,7,111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout,Dropout,77.57
Single,1,2,9773,1,1,142.0,1,38,38,9,9,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate,Graduate,27.67
Single,17,3,9147,1,1,120.0,1,19,19,4,7,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout,Enrolled,27.04
Single,18,4,9254,1,1,106.0,1,19,37,7,7,106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout,Dropout,67.41
Single,17,4,9773,1,1,121.0,1,1,19,9,8,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Graduate,4.21
Single,17,4,9500,1,1,150.0,1,38,37,9,9,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate,Graduate,1.84
Married,39,1,8014,0,1,120.0,1,37,37,9,6,117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate,Graduate,1.45
Single,1,6,9853,1,1,114.0,1,19,19,9,9,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout,Dropout,51.71
Single,39,1,9991,0,2,140.0,1,3,3,2,2,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,Dropout,97.55
Single,39,1,9003,1,4,160.0,1,3,3,4,2,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout,Dropout,66.61
Single,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,Enrolled,13.56
Married,39,1,8014,0,1,130.0,1,37,37,9,6,110.0,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate,Graduate,17.44
Single,42,1,9500,1,1,160.0,1,37,38,9,7,161.0,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate,Graduate,0.71
Single,39,1,9670,1,1,120.0,1,1,19,4,5,100.0,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate,Graduate,5.13
Single,17,1,9070,1,1,124.0,1,19,38,4,0,117.6,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate,Graduate,10.36
Single,1,6,9147,1,1,143.0,1,38,37,9,9,128.7,Yes,No,No,Yes,Male,No,23,No,0,5,6,4,14.0,0,0,5,5,5,13.8,0,11.1,0.6,2.02,Enrolled,Graduate,17.64
Single,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,Yes,No,Yes,Yes,Male,No,18,No,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,Dropout,95.81
Single,39,1,9500,1,1,133.1,1,1,1,4,10,100.8,No,No,No,Yes,Male,No,24,No,0,7,18,0,0.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Dropout,93.66
Single,17,2,9773,1,1,133.1,41,19,1,9,9,105.0,Yes,No,No,No,Female,No,21,Yes,0,6,6,6,14.0,0,0,6,6,6,13.5,0,8.9,1.4,3.51,Graduate,Graduate,1.21
Single,15,1,9130,1,1,133.1,41,1,1,4,4,100.0,No,No,No,Yes,Female,No,26,Yes,0,6,7,2,12.0,1,0,6,6,0,0.0,0,8.9,1.4,3.51,Dropout,Dropout,96.99
Married,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,No,No,No,Yes,Female,No,39,No,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout,Dropout,99.04
Married,39,1,8014,0,1,133.1,1,37,19,9,9,114.0,No,No,No,Yes,Female,No,44,No,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,12.7,3.7,-1.7,Graduate,Graduate,4.38
Single,15,1,9119,1,1,130.0,26,38,3,9,2,137.0,Yes,No,No,Yes,Male,No,19,Yes,0,5,9,5,14.0,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,Enrolled,Enrolled,11.58
Single,1,5,9773,1,1,135.0,1,37,1,5,5,124.9,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate,Graduate,3.16
Single,1,5,9500,1,1,132.0,1,37,37,7,7,120.3,Yes,No,No,Yes,Female,Yes,18,No,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,12.4,0.5,1.79,Graduate,Graduate,1.6
Single,1,1,9085,1,1,135.0,1,1,2,9,1,134.3,Yes,No,No,Yes,Female,No,19,No,0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,Enrolled,Graduate,3.3
Single,1,4,9500,1,1,115.0,1,3,3,2,2,111.5,Yes,No,Yes,No,Female,No,19,No,0,7,10,4,11.96,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,Dropout,Dropout,98.45
Single,53,1,9085,1,42,130.0,1,38,38,9,9,128.8,No,No,No,Yes,Female,No,21,No,7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,Dropout,Dropout,58.44
Single,1,4,171,1,1,133.1,1,1,1,9,10,110.0,Yes,No,No,Yes,Female,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Graduate,Dropout,66.92
Married,39,1,8014,0,1,130.0,1,37,37,6,5,113.5,Yes,No,No,Yes,Female,No,36,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,Dropout,95.04
Divorced,39,1,9003,1,12,133.1,1,37,37,9,6,160.0,No,No,No,Yes,Female,No,43,No,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate,Graduate,0.74
Single,18,1,9853,1,1,123.0,1,19,19,9,7,117.4,Yes,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,Dropout,Dropout,97.82
Single,51,1,9070,1,1,130.0,1,3,1,2,8,122.2,No,No,Yes,Yes,Female,No,20,No,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,11.1,0.6,2.02,Graduate,Graduate,8.55
Single,1,2,9238,1,1,122.0,1,37,38,4,7,118.2,Yes,No,No,Yes,Female,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Dropout,96.03
Single,1,1,9085,1,1,113.0,1,1,1,4,4,106.7,Yes,No,No,Yes,Female,No,20,No,0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,Dropout,Dropout,39.69
Single,1,5,9500,1,1,111.0,1,3,4,4,3,108.2,Yes,No,No,Yes,Female,No,20,No,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,12.4,0.5,1.79,Dropout,Graduate,8.51
Single,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,Yes,No,No,Yes,Female,No,20,No,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled,Enrolled,36.64
Single,1,1,9238,1,1,142.0,1,37,37,6,7,136.1,Yes,No,No,Yes,Female,No,18,No,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,13.9,-0.3,0.79,Graduate,Graduate,1.9
Single,17,2,9147,1,1,123.0,1,1,38,4,7,115.3,Yes,No,No,Yes,Female,Yes,18,No,0,5,9,3,13.0,0,0,5,11,3,11.0,0,8.9,1.4,3.51,Enrolled,Enrolled,7.85
Single,1,1,9085,1,1,131.0,1,19,19,9,9,139.8,Yes,No,No,Yes,Female,No,19,No,0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,Graduate,Graduate,3.73
Single,1,3,9773,1,1,158.0,1,1,38,4,7,157.0,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,10.8,1.4,1.74,Graduate,Graduate,15.39
Single,17,2,9500,1,1,122.0,1,37,37,9,9,131.0,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,7.6,2.6,0.32,Dropout,Graduate,4.05
Single,43,1,9500,1,1,130.0,1,38,38,9,5,100.0,No,No,No,Yes,Female,No,20,No,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,13.9,-0.3,0.79,Enrolled,Enrolled,1.03
Single,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,Yes,No,No,Yes,Female,Yes,20,No,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled,Enrolled,21.42
Single,17,1,9147,1,1,120.0,1,19,19,3,3,113.4,No,No,No,Yes,Female,No,20,No,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled,Enrolled,12.87
Single,1,2,9085,1,1,140.0,1,37,38,9,7,137.0,No,No,No,Yes,Female,No,18,No,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,Graduate,Graduate,5.14
